place_id,population
"43035","298"
"37061","221"
"40034","83"
"15014","4248"
"25060","75"
"15015","3281"
"50064","505"
"45025","1799"
"40035","177"
"49031","151"
"45026","257"
"10033","431"
"24027","1356"
"17031","279"
"12033","2958"
"9061","164"
"17030","948"
"31062","1357"
"28029","756"
"19058","10442"
"8027","964"
"37063","62"
"6023","4864"
"37065","279"
"6024","1309"
"10034","344"
"37062","77"
"45027","346"
"13025","322"
"13026","481"
"5042","157"
"41020","16417"
"5043","75"
"5044","260"
"21015","730"
"26035","18"
"39012","8301"
"9062","40"
"39013","616"
"47027","3713"
"47028","33"
"40036","664"
"10035","2194"
"5045","84"
"25061","92"
"50065","33"
"14013","20341"
"44048","54"
"43036","1163"
"23017","1779"
"33008","1960"
"33009","1034"
"31063","91"
"42044","53"
"42045","347"
"8028","1410"
"8029","4680"
"28030","2667"
"37067","4263"
"10036","326"
"47029","62"
"24028","413"
"24029","759"
"37068","370"
"8030","7439"
"39014","1000"
"24030","5118"
"10037","96126"
"10038","82"
"18034","569"
"10039","431"
"28031","3039"
"17032","2712"
"18035","1453"
"11012","116027"
"31064","1964"
"50066","4032"
"18036","5129"
"21016","1167"
"40037","28"
"44049","994"
"8031","3535"
"43037","26538"
"26036","24220"
"34041","90"
"18114","673"
"44050","4339"
"6025","6162"
"21017","2791"
"44051","3748"
"30013","10178"
"42046","51"
"50067","20024"
"50068","2881"
"50069","72"
"36005","9785"
"22072","229"
"8034","970"
"8032","2982"
"17033","7641"
"8033","17554"
"8035","19069"
"6026","960"
"45028","4646"
"9064","423"
"45029","208"
"18037","617"
"12034","1950"
"8037","2489"
"46079","355"
"3048","7373"
"3049","19038"
"8038","2140"
"50070","57"
"44052","75"
"17034","11092"
"8036","188"
"3047","22725"
"42048","52"
"37069","1163"
"37070","586"
"7011","50559"
"32016","770"
"37071","86"
"13027","3719"
"37072","152"
"34042","330"
"45030","529"
"37073","703"
"24031","223"
"10040","475"
"6027","755"
"49032","300"
"39015","936"
"44053","134"
"25062","817"
"45031","3960"
"44054","105"
"45032","565"
"39016","30260"
"44055","100"
"15016","5272"
"43903","3224"
"28032","7336"
"49033","776"
"41021","27509"
"36006","13744"
"23018","2703"
"15017","24648"
"43038","33898"
"10041","1194"
"44056","620"
"17035","693"
"41022","5276"
"6028","4896"
"7012","2640"
"47030","1079"
"24032","119"
"17036","3223"
"17037","139"
"3050","28349"
"1017","1040"
"16042","1322"
"50071","147"
"9065","182"
"23019","1760"
"37074","159"
"10042","79"
"19059","78"
"45033","344"
"6029","1360"
"19060","171"
"21018","2023"
"47031","222"
"29032","8444"
"16043","105"
"16044","38"
"8039","529"
"19061","57"
"17038","547"
"22074","278"
"13028","13414"
"3051","415"
"37077","261"
"40039","238"
"24033","209"
"36007","1817"
"10043","833"
"28033","6210"
"21019","675"
"9066","57"
"24034","4096"
"39027","3714"
"39017","669"
"47032","157"
"22075","134"
"46080","1191"
"7013","10862"
"16901","737"
"30014","2028"
"18038","1237"
"17039","2281"
"26037","151"
"45034","1726"
"3052","1220"
"44060","36"
"13029","102"
"44061","89"
"16046","243"
"16047","240"
"41901","3320"
"44062","31"
"22076","314"
"47033","231"
"16045","186"
"5046","45"
"26038","91"
"46081","13587"
"42050","30"
"16048","466"
"10044","1614"
"18040","350"
"26040","102"
"16049","146"
"10045","1031"
"21020","403"
"16050","258"
"16051","132"
"33010","1947"
"22077","462"
"38011","27985"
"37078","879"
"5047","5018"
"42049","113"
"24036","274"
"25063","107"
"23020","1831"
"28034","447"
"17040","723"
"46082","6697"
"8040","14526"
"12036","674"
"16052","739"
"14014","2933"
"29035","1665"
"22078","540"
"36008","26542"
"33012","6163"
"33011","12347"
"9067","449"
"18039","4047"
"37079","86"
"29033","1677"
"29034","716"
"47034","75"
"26039","40"
"36009","5180"
"49034","456"
"19066","54"
"44063","100"
"16053","439"
"49035","233"
"4030","1214"
"43907","5893"
"8041","16629"
"8042","3117"
"19064","67"
"9068","25"
"37080","255"
"37081","953"
"40040","3523"
"17041","313"
"19065","151"
"37082","851"
"37083","190"
"44059","709"
"41023","10684"
"40041","1325"
"5048","103"
"4031","3204"
"8043","4647"
"43039","121"
"31065","2766"
"43040","398"
"7014","11868"
"22079","198"
"15018","1232"
"22080","349"
"8044","5293"
"18042","554"
"6030","182"
"34045","75"
"17042","613"
"8045","94"
"28035","2010"
"42051","15"
"42052","17"
"13030","134"
"18043","194"
"30015","25760"
"33013","477"
"9070","33"
"49036","525"
"10046","200"
"37085","7116"
"32018","1286"
"32017","1545"
"27009","2193"
"32019","14027"
"15019","31349"
"49037","189"
"4032","8004"
"16055","811"
"40043","2519"
"23021","615"
"10047","1100"
"14015","2412"
"46083","20358"
"31066","1069"
"31067","2495"
"9071","42"
"9072","399"
"2020","501"
"46084","1862"
"23901","1363"
"8046","18357"
"14016","1490"
"9073","1341"
"9074","1105"
"26041","136"
"16056","496"
"5049","447"
"34046","50"
"9075","115"
"45035","355"
"8047","4636"
"19067","60"
"50072","213"
"50073","3302"
"15901","3838"
"46085","15598"
"14017","14061"
"8048","765"
"45036","743"
"24037","352"
"41024","28531"
"6031","540"
"15020","3957"
"23024","15261"
"47035","1016"
"37086","112"
"45037","1838"
"14018","4383"
"24038","3425"
"15021","6408"
"45038","4846"
"37087","1206"
"37088","209"
"40044","147"
"10048","216"
"6032","83"
"16057","70"
"42053","21"
"16058","106"
"42054","19"
"29036","731"
"33014","10337"
"5051","175"
"9076","26"
"45039","262"
"46086","94"
"13031","3082"
"41025","2544"
"34047","2069"
"24039","2228"
"13032","1212"
"24040","451"
"30016","214802"
"29037","253"
"29038","26259"
"21021","19974"
"32020","2642"
"39018","5747"
"24041","562"
"19070","89"
"29039","3522"
"37089","65"
"26042","1098"
"10049","4469"
"45040","1725"
"10050","1133"
"19071","12062"
"29040","2502"
"42055","169"
"29041","6515"
"10051","417"
"41026","5456"
"45041","5681"
"28036","3778"
"46087","131"
"46088","164"
"16060","852"
"10052","174"
"10053","289"
"6033","1439"
"16061","1169"
"16062","29"
"16063","117"
"16064","823"
"2021","1307"
"2022","363"
"16065","440"
"10056","567"
"10057","132"
"6034","196"
"19073","16"
"2023","572"
"10054","568"
"37090","69"
"10055","820"
"5052","89"
"2024","4538"
"45042","201"
